COD_INST,COD_ALUM,FORMA,S4_006,S4_009,S4_016,S4_020,S4_023,S4_027,S4_031,S4_036,S4_038,S4_043,S4_048,S4_054,S4_059,S4_066,S4_074,S4_077,S4_083,S4_087,S4_093,S4_095,S4_003,S4_008,S4_013,S4_022,S4_026,S4_032,S4_037,S4_042,S4_049,S4_053,S4_060,S4_062,S4_067,S4_070,S4_075,S4_082,S4_088,S4_090,S4_094
INST003,51,4,D,C,A,B,B,D,D,C,C,C,B,A,B,D,B,B,C,D,A,B,A,B,A,A,D,A,A,D,A,B,B,A,B,C,A,B,A,B,C
INST003,56,4,B,B,A,B,C,D,D,A,D,C,B,A,B,D,C,B,D,B,B,B,A,C,A,C,D,A,B,C,D,B,A,B,A,D,A,B,A,A,C
INST003,61,4,A,A,A,B,C,D,C,C,B,C,B,A,B,C,B,B,D,D,D,B,B,A,B,C,D,A,B,C,B,B,B,D,D,D,D,D,B,B,C
INST003,66,4,X,A,X,B,C,D,C,D,B,C,B,A,B,C,B,B,D,D,B,B,B,A,D,C,B,A,B,C,B,B,B,D,D,B,B,D,B,B,D
INST003,71,4,B,A,A,D,B,D,C,A,D,C,B,A,A,A,B,B,C,D,D,B,A,A,C,D,D,D,A,C,C,B,B,B,D,D,B,B,B,A,A
INST003,76,4,X,B,A,D,C,D,C,A,D,C,B,C,B,D,D,B,D,D,C,B,A,X,C,C,D,A,B,D,A,B,B,A,C,D,C,B,A,B,X
INST003,81,4,A,D,B,D,B,D,C,A,A,C,B,C,D,D,B,B,A,C,A,B,B,D,C,D,D,A,A,D,B,B,B,C,B,D,A,D,B,A,C
INST003,86,4,A,D,A,C,B,A,C,C,B,C,B,C,A,D,C,B,A,D,B,B,B,D,C,D,D,A,B,B,B,A,B,B,C,C,A,B,D,A,A
INST003,91,4,B,C,D,B,C,D,A,A,C,D,B,A,D,D,C,B,X,D,A,B,B,D,A,D,A,A,A,B,B,B,B,A,B,D,D,D,A,A,B
INST003,96,4,D,C,B,B,C,D,C,A,C,C,C,A,B,D,X,B,X,D,C,B,B,D,A,C,C,A,B,B,C,B,A,A,D,D,A,B,A,A,C
INST003,102,4,B,D,D,C,C,D,C,C,D,A,A,A,D,C,D,A,C,D,B,A,A,A,A,A,D,A,D,B,C,B,D,B,B,C,C,B,B,A,A
INST003,106,4,B,D,A,D,C,D,B,B,C,C,A,A,D,D,B,A,D,C,B,D,B,A,C,C,C,D,B,C,C,D,B,C,A,D,C,C,A,A,D
INST003,107,4,A,B,A,C,B,C,C,B,C,D,C,B,A,C,D,B,A,D,B,B,D,A,C,A,D,A,B,A,B,D,B,A,B,A,B,A,A,A,D
INST003,113,4,B,C,A,D,C,D,A,A,A,C,B,A,B,D,B,B,D,D,B,B,B,A,B,A,D,A,A,C,B,B,C,C,B,D,C,B,B,B,C
INST003,124,4,A,C,B,B,C,B,D,A,A,C,B,A,A,D,D,B,X,C,A,B,B,B,A,C,D,A,A,C,B,B,D,A,B,D,A,B,B,C,C
INST003,125,4,A,D,A,D,A,D,C,A,A,D,D,X,D,D,C,B,D,A,B,B,D,C,C,C,D,A,A,C,C,D,D,D,A,D,A,C,A,A,C
INST003,130,4,A,A,D,B,C,C,C,B,D,D,B,A,D,B,C,D,A,D,D,D,X,A,A,A,C,A,D,C,B,C,C,C,D,C,D,A,B,B,C
INST003,131,4,A,B,B,B,A,C,C,A,A,C,B,X,C,D,B,B,C,C,D,B,B,D,A,C,D,A,A,B,B,C,A,A,B,C,C,A,B,X,C
INST003,132,4,A,A,C,D,C,D,B,A,A,C,B,D,D,C,D,B,C,D,B,B,A,A,A,A,C,A,D,C,B,C,C,C,D,C,D,A,B,B,C
INST003,133,4,A,D,B,D,C,B,A,C,D,C,C,A,D,C,D,B,D,A,B,B,C,A,B,C,B,A,B,A,C,A,A,A,A,D,B,C,B,B,B
INST003,143,4,A,B,B,B,C,D,C,A,A,D,B,A,C,D,B,C,D,B,A,A,B,C,A,C,C,A,B,B,B,B,D,D,D,A,B,B,B,A,B
INST003,147,4,C,A,B,C,C,D,C,B,D,C,C,B,C,D,C,B,C,D,B,A,B,D,A,C,D,A,B,B,C,D,A,B,C,C,B,D,A,C,B
INST005,1,4,B,C,A,B,C,D,C,B,A,C,B,A,B,D,B,B,A,D,A,B,C,B,A,D,D,A,A,C,B,B,A,B,B,D,A,B,B,A,C
INST005,6,4,A,B,B,B,B,D,C,B,A,C,B,A,B,A,B,A,A,D,B,A,B,D,C,C,D,A,A,C,A,B,B,A,D,D,B,B,D,A,A
INST005,11,4,B,A,C,D,B,D,C,B,A,C,B,X,A,D,B,B,B,D,A,C,X,X,C,C,D,D,A,D,B,X,B,A,B,A,B,B,B,A,C
INST005,21,4,B,C,B,D,C,D,B,A,A,C,B,A,X,D,D,A,D,D,A,B,D,B,C,D,A,D,D,A,B,B,C,B,B,A,C,B,B,A,A
